gender,age_band,item,percentile,value
M,50-54,sit_reach,10,-3.9
M,50-54,sit_reach,25,3.5
M,50-54,sit_reach,50,9.2
M,50-54,sit_reach,75,14.3
M,50-54,sit_reach,90,18.3
M,50-54,shuttle_run,10,15.0
M,50-54,shuttle_run,25,21.0
M,50-54,shuttle_run,50,28.0
M,50-54,shuttle_run,75,36.0
M,50-54,shuttle_run,90,42.0
M,50-54,standing_jump,10,164.0
M,50-54,standing_jump,25,178.8
M,50-54,standing_jump,50,193.0
M,50-54,standing_jump,75,205.0
M,50-54,standing_jump,90,215.0
M,55-59,grip,10,46.9
M,55-59,grip,25,53.1
M,55-59,grip,50,59.2
M,55-59,grip,75,65.0
M,55-59,grip,90,70.6
M,55-59,sit_up,10,18.0
M,55-59,sit_up,25,23.0
M,55-59,sit_up,50,30.0
M,55-59,sit_up,75,37.0
M,55-59,sit_up,90,43.0
M,55-59,sit_reach,10,-2.7
M,55-59,sit_reach,25,4.0
M,55-59,sit_reach,50,10.0
M,55-59,sit_reach,75,14.6
M,55-59,sit_reach,90,19.0
M,55-59,shuttle_run,10,13.0
M,55-59,shuttle_run,25,18.0
M,55-59,shuttle_run,50,23.0
M,55-59,shuttle_run,75,31.0
M,55-59,shuttle_run,90,37.0
M,55-59,standing_jump,10,150.0
M,55-59,standing_jump,25,168.0
M,55-59,standing_jump,50,182.0
M,55-59,standing_jump,75,196.0
M,55-59,standing_jump,90,207.0
M,60-64,grip,10,47.8
M,60-64,grip,25,53.0
M,60-64,grip,50,58.1
M,60-64,grip,75,63.7
M,60-64,grip,90,69.5
M,60-64,sit_up,10,15.0
M,60-64,sit_up,25,21.0
M,60-64,sit_up,50,27.0
M,60-64,sit_up,75,34.0
M,60-64,sit_up,90,40.0
M,60-64,sit_reach,10,-0.8
M,60-64,sit_reach,25,5.1
M,60-64,sit_reach,50,10.0
M,60-64,sit_reach,75,14.3
M,60-64,sit_reach,90,17.9
M,60-64,shuttle_run,10,12.0
M,60-64,shuttle_run,25,15.0
M,60-64,shuttle_run,50,20.0
M,60-64,shuttle_run,75,26.0
M,60-64,shuttle_run,90,30.0
M,60-64,standing_jump,10,143.6
M,60-64,standing_jump,25,160.0
M,60-64,standing_jump,50,174.0
M,60-64,standing_jump,75,185.0
M,60-64,standing_jump,90,197.0
F,19-24,grip,10,38.9
F,19-24,grip,25,43.7
F,19-24,grip,50,48.8
F,19-24,grip,75,54.2
F,19-24,grip,90,59.0
F,19-24,sit_up,10,12.0
F,19-24,sit_up,25,21.0
F,19-24,sit_up,50,30.0
F,19-24,sit_up,75,38.0
F,19-24,sit_up,90,45.0
F,19-24,sit_reach,10,5.3
F,19-24,sit_reach,25,11.6
F,19-24,sit_reach,50,17.2
F,19-24,sit_reach,75,21.8
F,19-24,sit_reach,90,25.5
F,19-24,shuttle_run,10,13.0
F,19-24,shuttle_run,25,18.0
F,19-24,shuttle_run,50,24.0
F,19-24,shuttle_run,75,31.0
F,19-24,shuttle_run,90,35.0
F,19-24,standing_jump,10,130.0
F,19-24,standing_jump,25,145.0
F,19-24,standing_jump,50,161.0
F,19-24,standing_jump,75,174.0
F,19-24,standing_jump,90,188.0
