course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1858,체력단련실,체력단련실,37.466764,126.869901,수,09:00,생활체육,1,1,0,0,0
C1859,체력단련실,체력단련실,37.466764,126.869901,목,09:00,생활체육,1,1,0,0,0
C1860,체력단련실,체력단련실,37.466764,126.869901,금,09:00,생활체육,1,1,0,0,0
C1861,스포츠 마사지 & 바른체형지도사,부여군 평생학습관,36.283512,126.927226,월,18:30,생활체육,1,1,0,0,0
C1862,라인댄스A (초중급)(추첨),철산1동 행정복지센터,37.466764,126.869901,수,09:00,댄스,0,1,0,1,0
C1863,라인댄스A (초중급)(추첨),철산1동 행정복지센터,37.466764,126.869901,월,09:00,댄스,0,1,0,1,0
C1864,라인댄스B(초중급) (추첨),철산1동 행정복지센터,37.466764,126.869901,수,14:00,댄스,0,1,0,1,0
C1865,라인댄스B(초중급) (추첨),철산1동 행정복지센터,37.466764,126.869901,월,14:00,댄스,0,1,0,1,0
C1866,라인댄스C(초급) (추첨),철산1동 행정복지센터,37.466764,126.869901,수,15:40,댄스,0,1,0,1,0
C1867,라인댄스C(초급) (추첨),철산1동 행정복지센터,37.466764,126.869901,월,15:40,댄스,0,1,0,1,0
C1868,요가A (파워다이어트요가)(추첨),철산1동 행정복지센터,37.466764,126.869901,금,09:00,요가,1,0,1,0,0
C1869,요가A (파워다이어트요가)(추첨),철산1동 행정복지센터,37.466764,126.869901,화,09:00,요가,1,0,1,0,0
C1870,요가B (심신단련요가)(추첨),철산1동 행정복지센터,37.466764,126.869901,금,10:30,요가,1,0,1,0,0
C1871,요가B (심신단련요가)(추첨),철산1동 행정복지센터,37.466764,126.869901,화,10:30,요가,1,0,1,0,0
C1872,체력단련실(4월 ~ 6월),철산1동 행정복지센터,37.466764,126.869901,금,09:00,생활체육,1,1,0,0,0
C1873,체력단련실(4월 ~ 6월),철산1동 행정복지센터,37.466764,126.869901,목,09:00,생활체육,1,1,0,0,0
C1874,체력단련실(4월 ~ 6월),철산1동 행정복지센터,37.466764,126.869901,수,09:00,생활체육,1,1,0,0,0
C1875,체력단련실(4월 ~ 6월),철산1동 행정복지센터,37.466764,126.869901,화,09:00,생활체육,1,1,0,0,0
C1876,체력단련실(4월 ~ 6월),철산1동 행정복지센터,37.466764,126.869901,월,09:00,생활체육,1,1,0,0,0
C1877,줌바댄스,제1강의실,37.466764,126.869901,수,19:00,댄스,0,1,0,1,0
C1878,줌바댄스,제1강의실,37.466764,126.869901,월,19:00,댄스,0,1,0,1,0
C1879,라인댄스(중급),문화센터,37.466764,126.869901,수,13:00,댄스,0,1,0,1,0
C1880,라인댄스(중급),문화센터,37.466764,126.869901,월,13:00,댄스,0,1,0,1,0
C1881,라인댄스(초급),문화센터,37.466764,126.869901,월,14:40,댄스,0,1,0,1,0
C1882,라인댄스(초급),문화센터,37.466764,126.869901,수,14:40,댄스,0,1,0,1,0
C1883,댄스스포츠,문화센터,37.466764,126.869901,월,10:00,댄스,0,1,0,1,0
C1884,댄스스포츠,문화센터,37.466764,126.869901,수,10:00,댄스,0,1,0,1,0
C1885,단전호흡,청락원,35.185851,128.102724,화,14:00,기공,0,1,1,0,0
C1886,쎄라밴드 코어튼튼교실,모라평생학습관,35.187003,128.989979,금,10:00,웨이트,1,1,0,0,0
C1887,[단기강좌] 임산부요가 주간,고산평생학습센터,35.843475,128.695184,화,14:30,요가,1,0,1,0,0
C1888,초등 필라테스,파동평생학습센터,35.810456,128.618148,화,17:00,필라테스,1,1,1,0,0
C1889,초등 필라테스,파동평생학습센터,35.810456,128.618148,목,17:00,필라테스,1,1,1,0,0
C1890,밸리댄스 야간,파동평생학습센터,35.810456,128.618148,수,19:00,댄스,0,1,0,1,0
C1891,몸살림운동,수영구평생학습관,35.152938,129.107459,수,19:00,생활체육,1,1,0,0,0
C1892,척추자세교정걷기,수영구평생학습관,35.152938,129.107459,목,19:00,걷기,0,1,0,1,0
