course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1868,,장유스포츠센터,35.195726,128.804944,,,생활체육,1,1,0,0,0
C1869,,장유체육공원롤러스케이트장,35.204445,128.796123,,,롤러,0,0,0,1,1
C1870,,조만강장애인파크골프장,35.182657,128.847017,,,파크골프,0,0,1,0,0
C1871,,조만강파크골프장,35.185732,128.836601,,,파크골프,0,0,1,0,0
C1872,,진영공설운동장 테니스장,35.308127,128.718926,,,테니스,0,0,0,1,1
C1873,,진영문화체육센터,35.308215,128.717209,,,생활체육,1,1,0,0,0
C1874,,진영스포츠센터,35.308215,128.717209,,,생활체육,1,1,0,0,0
C1875,,한림시산파크골프장,35.338563,128.784574,,,파크골프,0,0,1,0,0
C1876,,한림체육관,35.322653,128.801141,,,생활체육,1,1,0,0,0
C1877,,한림테니스장,35.350688,128.804123,,,테니스,0,0,0,1,1
C1878,,해동이국민체육센터,35.258323,128.880363,,,생활체육,1,1,0,0,0
C1879,,고현그라운드골프장,34.888083,127.869435,,,골프,0,0,1,0,1
C1880,,금해정,34.842186,127.901260,,,국궁,1,0,1,0,0
C1881,,남해공설테니스장,34.844829,127.902207,,,테니스,0,0,0,1,1
C1882,,남해군 공설테니스장,34.844831,127.902205,,,테니스,0,0,0,1,1
C1883,,남해군국민체육센터(남해국민체육센터실내수영장),34.837567,127.896907,,,수영,0,1,1,1,0
C1884,,남해군생활체육관(탁구장),34.834739,127.898105,,,탁구,0,0,0,1,1
C1885,,남해무도관(검도관),34.834149,127.891704,,,생활체육,1,1,0,0,0
C1886,,남해무도관(유도장),34.834149,127.891704,,,생활체육,1,1,0,0,0
C1887,,남해스포츠파크골프장,34.804382,127.834161,,,파크골프,0,0,1,0,0
C1888,,남해스포츠파크테니스장,34.805578,127.833441,,,테니스,0,0,0,1,1
C1889,,남해실내체육관,34.833704,127.893270,,,생활체육,1,1,0,0,0
C1890,,미조그라운드골프장,34.727464,128.027204,,,골프,0,0,1,0,1
C1891,,성산지구 파크골프장,34.900517,127.862598,,,파크골프,0,0,1,0,0
C1892,,이동그라운드골프장,36.497877,127.265434,,,골프,0,0,1,0,1
C1893,,창선다목적체육관,34.854869,128.012389,,,생활체육,1,1,0,0,0
C1894,,창선생활체육공원 그라운드골프장,34.861127,128.015446,,,골프,0,0,1,0,1
